nama_jurnal,url,sinta_grade,subject_area
Jurnal Manajemen Transportasi & Logistik (JMTRANSLOG),https://journal.itltrisakti.ac.id/index.php/jmtranslog,3,"Science, Engineering"
JIPFRI (Jurnal Inovasi Pendidikan Fisika dan Riset Ilmiah),https://journal.unuha.ac.id/index.php/JIPFRI,3,"Science, Education"
Indonesian Journal of Fundamental and Applied Chemistry,http://ijfac.unsri.ac.id/index.php/ijfac/index,3,"Science, Social"
Al-Kimia,http://journal.uin-alauddin.ac.id/index.php/al-kimia/index,3,Science
Almana : Jurnal Manajemen dan Bisnis,http://journalfeb.unla.ac.id/index.php/almana,3,"Economy, Science"
JEP (Jurnal Eksakta Pendidikan),http://jep.ppj.unp.ac.id/index.php/jep,3,"Science, Education, Agriculture"
"JASa (Jurnal Akuntansi, Audit dan Sistem Informasi Akuntansi)",http://journalfeb.unla.ac.id/index.php/jasa,3,"Economy, Science"
JIKO (Jurnal Informatika dan Komputer),http://ejournal.unkhair.ac.id/index.php/jiko/issue/archive,3,Science
Sistemasi: Jurnal Sistem Informasi,http://sistemasi.ftik.unisi.ac.id/index.php/stmsi,3,"Science, Engineering"
"BIOLINK (Jurnal Biologi Lingkungan, Industri, Kesehatan)",http://ojs.uma.ac.id/index.php/biolink,3,"Science, Agriculture"
Indonesian Journal of Limnology,http://inajl.org/index.php/inajl,3,"Science, Social, Engineering"
Media Ekonomi dan Manajemen,http://jurnal.untagsmg.ac.id/index.php/fe,3,"Economy, Science, Education"
JiTEKH (Jurnal Ilmiah Teknologi Harapan),https://jurnal.harapan.ac.id/index.php/Jitekh,3,"Science, Engineering"
Indonesian Journal of Science and Education,https://journal.untidar.ac.id/index.php/ijose,3,"Science, Education, Social"
INSECTA: Integrative Science Education and Teaching Activity Journal,https://jurnal.iainponorogo.ac.id/index.php/insecta,3,"Science, Education, Agriculture, Social"
Multitek Indonesia : Jurnal Ilmiah,http://journal.umpo.ac.id/index.php/multitek,3,"Science, Engineering"
LANTANIDA JOURNAL,https://jurnal.ar-raniry.ac.id/index.php/lantanida/issue/archive,3,"Science, Education, Engineering"
Agrica: Journal of Sustainable Dryland Agriculture,http://e-journal.uniflor.ac.id/index.php/Agr,3,"Science, Agriculture"
Jurnal Kependidikan: Penelitian Inovasi Pembelajaran,https://journal.uny.ac.id/index.php/jk,3,"Science, Education"
Bulletin of Network Engineer and Informatics (BUFNETS),https://bufnets.tech/index.php/bufnets,3,Science
Journal of Management and Business Review,http://www.jmbr.ppm-school.ac.id/index.php/jmbr,3,"Economy, Science, Social"
Jurnal Kimia dan Kemasan,http://ejournal.kemenperin.go.id/jkk/index,3,Science
Jurnal Teknologi Pangan dan Gizi,https://journal.ukwms.ac.id/index.php/JTPG/index,3,Science
Jurnal Transformatika,http://journals.usm.ac.id/index.php/transformatika,3,Science
JURNAL ILMIAH PETERNAKAN TERPADU,http://jurnal.fp.unila.ac.id/index.php/JIPT/issue/archive,3,"Science, Education"
Jurnal ILMU DASAR,https://jurnal.unej.ac.id/index.php/JID/index,3,"Science, Education"
Amal Ilmiah : Jurnal Pengabdian Kepada Masyarakat,https://amalilmiah.uho.ac.id/index.php/journal,3,"Economy, Science, Education, Social, Engineering"
Jurnal Ilmiah Administrasi Publik,https://jiap.ub.ac.id/index.php/jiap,3,Science
Jurnal Teknologi dan Industri Pertanian Indonesia,https://jurnal.usk.ac.id/TIPI/index,3,"Science, Agriculture, Engineering"
INVOTEK: Jurnal Inovasi Vokasional dan Teknologi,http://invotek.ppj.unp.ac.id/index.php/invotek/issue/view/5,3,"Science, Engineering"
JURNAL PENDIDIKAN SAINS (JPS) UNIVERSITAS MUHAMMADIYAH SEMARANG,http://jurnal.unimus.ac.id/index.php/JPKIMIA/index,3,"Science, Education"
Scientific Journal of Mechanical Engineering Kinematika,https://kinematika.ulm.ac.id/index.php/kinematika,3,"Science, Engineering"
Jurnal Fisika Unand,http://jfu.fmipa.unand.ac.id/index.php/jfu,3,"Science, Engineering"
Fullerene Journal of Chemistry,https://indochembull.com/index.php/fulerene,3,"Health, Science"
SPEKTRA: Jurnal Fisika dan Aplikasinya,https://journal.unj.ac.id/unj/index.php/spektra/index,3,"Science, Engineering"
Jurnal Ilmiah Kedokteran Wijaya Kusuma,https://journal.uwks.ac.id/index.php/jikw,3,"Health, Science"
Journal of Global Sustainable Agriculture (JGSA),https://ojs.um-palembang.ac.id/index.php/JGSA,3,"Science, Agriculture, Social, Engineering"
"Journal of Ocean, Mechanical and Aerospace -science and engineering- (JOMAse)",https://isomase.org/Journals/index.php/jomase,3,"Science, Engineering"
Journal Pharmaceutical And Sciences,https://journal-jps.com/new/index.php/jps,3,"Health, Science, Agriculture, Engineering"
Zona Laut : Jurnal Inovasi Sains dan Teknologi Kelautan,https://journal.unhas.ac.id/index.php/zonalaut,3,"Science, Engineering"
AGROSAINSTEK: Jurnal Ilmu dan Teknologi Pertanian,http://agrosainstek.ubb.ac.id/index.php/agrosainstek/index,3,"Science, Agriculture, Social"
Informatika Mulawarman,http://e-journals.unmul.ac.id/index.php/JIM,3,Science
Jurnal Penelitian Hasil Hutan,https://ejournal.brin.go.id/jphh,3,"Science, Agriculture"
"TELKA : Jurnal Telekomunikasi, Elektronika, Komputasi dan Kontrol",http://telka.ee.uinsgd.ac.id/index.php/TELKA/index,3,"Science, Engineering"
CSRID (Computer Science Research and Its Development Journal),http://csrid.potensi-utama.ac.id/index.php/CSRID,3,Science
DiA: Jurnal Administrasi Publik,https://jurnal.untag-sby.ac.id/index.php/dia,3,"Humanities, Science, Social"
Dinamika Teknik Mesin : Jurnal Keilmuan dan Terapan Teknik Mesin,https://dinamika.unram.ac.id/index.php/DTM,3,"Science, Engineering"
MAHATANI: Jurnal Agribisnis (Agribusiness and Agricultural Economics Journal),https://journal.uniga.ac.id/index.php/MJA,3,"Economy, Science, Agriculture, Social"
Journal of Chemical Process Engineering,https://jurnal.teknologiindustriumi.ac.id/index.php/JCPE/issue/archive,3,"Science, Social, Engineering"
Jurnal Pendidikan Fisika,http://jurnal.unimed.ac.id/2012/index.php/jpf/index,3,"Science, Education"
Logic : Jurnal Rancang Bangun dan Teknologi,https://ojs2.pnb.ac.id/index.php/LOGIC,3,"Science, Education"
CCIT (Creative Communication and Innovative Technology) Journal,http://ejournal.raharja.ac.id/index.php/ccit/index,3,Science
Jurnal Biomedika dan Kesehatan,https://jbiomedkes.org/index.php/jbk,3,"Health, Science"
Journal of Biology Education,https://journal.unnes.ac.id/journals/ujbe,3,"Science, Education"
Wahana Fisika : Jurnal Fisika dan Terapannya,http://ejournal.upi.edu/index.php/wafi/index,3,Science
Aquacultura Indonesiana,http://aquasiana.org/index.php/ai,3,Science
JFA (Jurnal Fisika dan Aplikasinya),https://journal.its.ac.id/index.php/jfa,3,Science
